title,subject,actual_price,actual,own_price_bin,own,meta
muse 18,PI,3750,0,1,0,0.55
scarlet,PI,4000,0,0,0,0.5
Sinking Ship,PI,902564,1,1,0,0.5
The town sonnets,PI,950,0,2,1,0.6
The girl in red,PI,950,0,1,0,0.5
Hotel Window,PI,26896000,1,2,1,0.5
Botticelli e Filippino,PI,7000,0,2,1,0.6
Ericksons,PI,10344000,1,2,1,0.65
BLUE SELLY 2,PI,3200,0,1,0,0.3
Censorship,PI,7500,0,2,1,0.6
You are beautiful,PI,2800,0,1,0,0.5
Portrait of the Artist and His Friends,PI,2618925,1,2,1,0.5
HOW MUCH,PI,25,0,1,0,0.5
Chorus,PI,4800,0,2,1,0.4
Tender Nurse,PI,2256000,1,0,0,0.4
Morning,PI,1100,0,1,0,0.5
Moth,PI,747825,1,1,0,0.3
Green Dress In Blue Space,PI,4500,0,0,0,0.4
Falling Figure with Bird,PI,1248000,1,0,0,0.35
Those Who Are Here Again,PI,824000,1,1,0,0.4
Camel Driver,PI,4500,0,2,1,0.35
Portrait-2,PI,950,0,0,0,0.3
1304,PI,6000,0,1,0,0.5
sleepy land,PI,65,0,1,0,0.3
THE 10th MILKY WAY 5th CONSTELLATION GALAXY OF TUUNES,PI,8000,0,0,0,0.4
Mapping the Soul,PI,35,0,2,1,0.3
Bobs World,PI,822400,1,1,0,0.4
Recompensa,PI,980,0,2,1,0.3
High Society,PI,968000,1,1,0,0.5
Jasmine,PI,4200,0,1,0,0.4
A Question of Balance,PI,950,0,2,1,0.35
Panic,PI,75,0,1,0,0.3
under the sun,PI,4800,0,2,1,0.4
abstract66,PI,7500,0,2,1,0.75
White line melody,PI,850,0,1,0,0.6
Lavender Mist,PI,420000,1,2,1,0.5
Figure 4,PI,17400000,1,2,1,0.4
Sharp Angle,PI,350,0,1,0,0.5
Colorado River,PI,192000,1,0,0,0.35
structure I,PI,50,0,0,0,0.35
Self-Portrait as Goofy-Foot,PI,744000,1,1,0,0.5
tree of life,PI,9000,0,2,1,0.5
Flannan,PI,936000,1,0,0,0.4
